geometry,band_count,spacing_nm,effective_fwhm_nm,shift_nm,absolute_shift_over_spacing,absolute_shift_over_fwhm,scene,model,model_key,direction,nominal_macro_f1_mean,shifted_macro_f1_mean,paired_macro_f1_drop_mean,paired_macro_f1_drop_std,ece_change_shifted_minus_nominal_mean,label_flip_rate_mean,correct_to_wrong_rate_mean,wrong_to_correct_rate_mean,low_capability_nominal_below_0p70
reference,68,8.0,15.0,2.2,0.275,0.14666666666666667,HanChuan,SSResNet-3x3,ssresnet3x3,plus,0.7377953148299785,0.642315884620797,0.09547943020918155,0.030078599857929395,0.03512859497584885,0.1216537056461822,0.07694867435888161,0.020572213983434007,False
reference,68,8.0,15.0,-2.2,0.275,0.14666666666666667,HanChuan,SpectralFormer-3x3,spectralformer3x3,minus,0.7286509493934243,0.6903019972888569,0.0383489521045675,0.012460156094122382,0.017304931323851764,0.0821166853546497,0.03987557420334937,0.021211704705754692,False
reference,68,8.0,15.0,2.2,0.275,0.14666666666666667,HanChuan,SpectralFormer-3x3,spectralformer3x3,plus,0.7286509493934243,0.6938721249911872,0.03477882440223721,0.012625498165550166,0.016423524791937306,0.07413751944153073,0.04037038376677397,0.01719969616956632,False
reference,68,8.0,15.0,-2.2,0.275,0.14666666666666667,HongHu,Linear,linear,minus,0.550952708186803,0.44915801368023944,0.10179469450656364,0.0032866823046380027,-0.05697441403861565,0.23851166925124517,0.14485234085518148,0.029204287984850023,True
reference,68,8.0,15.0,2.2,0.275,0.14666666666666667,HongHu,Linear,linear,plus,0.550952708186803,0.4770241631089953,0.07392854507780768,0.0013882036090834661,-0.06938625501529995,0.16384198804813596,0.07003773001541085,0.04197548756745267,True
reference,68,8.0,15.0,-2.2,0.275,0.14666666666666667,HongHu,MLP,mlp,minus,0.6164055385622694,0.5025573744407519,0.1138481641215175,0.008536900131619838,0.0606666058953411,0.25905592834678765,0.16816378981337893,0.03298018811866839,True
reference,68,8.0,15.0,2.2,0.275,0.14666666666666667,HongHu,MLP,mlp,plus,0.6164055385622694,0.560077983625513,0.05632755493675641,0.004544059607176003,0.04217412169137948,0.154969395691725,0.06915945641724278,0.03800538172050803,True
reference,68,8.0,15.0,-2.2,0.275,0.14666666666666667,HongHu,CNN-1D,cnn1d,minus,0.5998184759485408,0.534863412549617,0.06495506339892372,0.013765396874828369,0.032191188200574886,0.21066392266554587,0.11870703440146477,0.0355164567602429,True
reference,68,8.0,15.0,2.2,0.275,0.14666666666666667,HongHu,CNN-1D,cnn1d,plus,0.5998184759485408,0.523210653018411,0.07660782293012976,0.0040632491106167715,0.05442769559751852,0.1614970265269545,0.07729967100972478,0.0362816852418151,True
reference,68,8.0,15.0,-2.2,0.275,0.14666666666666667,HongHu,SSCNN-3x3,sscnn3x3,minus,0.7066405365694027,0.501114346231194,0.20552619033820868,0.0286284685268138,0.1314163189025042,0.29632796610578893,0.21423692130803831,0.034540597206722805,False
reference,68,8.0,15.0,2.2,0.275,0.14666666666666667,HongHu,SSCNN-3x3,sscnn3x3,plus,0.7066405365694027,0.5505248538946393,0.1561156826747634,0.017644276996205965,0.09484903656884143,0.18893993632757963,0.12057276192408586,0.02365928008618482,False
reference,68,8.0,15.0,-2.2,0.275,0.14666666666666667,HongHu,SSResNet-3x3,ssresnet3x3,minus,0.7269548031753525,0.47492841782004047,0.2520263853553121,0.040661243433396985,0.19195473937961632,0.3628149200229955,0.2829905747426291,0.026305695251622,False
reference,68,8.0,15.0,2.2,0.275,0.14666666666666667,HongHu,SSResNet-3x3,ssresnet3x3,plus,0.7269548031753525,0.5480013003521343,0.1789535028232182,0.009045122669678714,0.07900878248597087,0.198224128852109,0.12534964274844565,0.027209089986811402,False
reference,68,8.0,15.0,-2.2,0.275,0.14666666666666667,HongHu,SpectralFormer-3x3,spectralformer3x3,minus,0.6943049018252696,0.5328157143626393,0.16148918746263036,0.012855756037312597,0.11309338050277873,0.2585254858766069,0.18365097078701625,0.030023623530775805,True
reference,68,8.0,15.0,2.2,0.275,0.14666666666666667,HongHu,SpectralFormer-3x3,spectralformer3x3,plus,0.6943049018252696,0.5443666903708643,0.14993821145440542,0.008134771567641403,0.07674606183885949,0.18196012502596653,0.113794885916221,0.022269887969390858,True
coarse_broad,46,11.911111111111111,18.0,-2.2,0.18470149253731344,0.12222222222222223,LongKou,Linear,linear,minus,0.742186116520606,0.7181879981487561,0.023998118371849887,0.00357140543031423,-0.011273951165514244,0.06423431547564276,0.020255074810902333,0.022257393672819627,False
